22,auxiliary/scanner/ssh/ssh_login_pubkey,[KEY_PATH]
22,auxiliary/scanner/ssh/juniper_backdoor,[]
1720,auxiliary/scanner/h323/h323_version,[]
79,auxiliary/scanner/finger/finger_users,[]
137,auxiliary/scanner/netbios/nbname,[]
1521,auxiliary/scanner/oracle/sid_enum,[]
1521,auxiliary/scanner/oracle/tnspoison_checker,[]
1521,auxiliary/scanner/oracle/tnslsnr_version,[]
8080,auxiliary/scanner/oracle/xdb_sid_brute,[]
1158,auxiliary/scanner/oracle/spy_sid,[]
8080,auxiliary/scanner/oracle/xdb_sid,[]
1158,auxiliary/scanner/oracle/emc_sid,[]
1521,auxiliary/scanner/oracle/sid_brute,[]
5560,auxiliary/scanner/oracle/isqlplus_login,[]
5560,auxiliary/scanner/oracle/isqlplus_sidbrute,[]
873,auxiliary/scanner/rsync/modules_list,[]
21,auxiliary/scanner/ftp/ftp_login,[]
21,auxiliary/scanner/ftp/anonymous,[]
21,auxiliary/scanner/ftp/ftp_version,[]
21,auxiliary/scanner/ftp/titanftp_xcrc_traversal,[]
5060,auxiliary/scanner/sip/enumerator,[]
5060,auxiliary/scanner/sip/enumerator_tcp,[]
5060,auxiliary/scanner/sip/options,[]
5060,auxiliary/scanner/sip/options_tcp,[]
3500,auxiliary/scanner/emc/alphastor_librarymanager,[]
3000,auxiliary/scanner/emc/alphastor_devicemanager,[]
23,auxiliary/scanner/telnet/telnet_version,[]
23,auxiliary/scanner/telnet/telnet_encrypt_overflow,[]
9999,auxiliary/scanner/telnet/lantronix_telnet_version,[]
30718,auxiliary/scanner/telnet/lantronix_telnet_password,[]
23,auxiliary/scanner/telnet/telnet_ruggedcom,[]
5555,exploits/android/adb/adb_server_exec,[]
5555,exploits/windows/misc/hp_omniinet_2,[]
30000,exploits/windows/misc/sap_2005_license,[]
6905,exploits/windows/misc/citrix_streamprocess,[]
5498,exploits/windows/misc/ibm_cognos_tm1admsd_bof,[]
16102,exploits/windows/misc/bcaaa_bof,[]
7414,exploits/windows/misc/nvidia_mental_ray,[]
30000,exploits/windows/misc/solidworks_workgroup_pdmwservice_file_write,[]
3460,exploits/windows/misc/poisonivy_bof,[]
1811,exploits/windows/misc/hp_imc_uam,[]
3050,exploits/windows/misc/fb_svc_attach,[]
6988,exploits/windows/misc/ibm_director_cim_dllinject,[]
1582,exploits/windows/misc/ibm_tsm_cad_ping,[]
20031,exploits/windows/misc/bakbone_netvault_heap,[]
22222,exploits/windows/misc/nettransport,[]
